fid,field_1,trap,trapnb,Unit,Unit_Class,Unit_code,Oc.detritu,Oc.caspius,Cx.theiler,Cx.pipiens,Cx.modestu,Cx.perexig,An.atropar,IShannon,Total_mosq,Riqueza_me,HIDRO_MEAN,HIDRO_ME_1,HIDRO_ME_2,HIDRO_ME_3,LULC_100,LULC_250,LULC_500,LULC_1000,LULC_2000,NDVI_100,NDVI_250,NDVI_500,NDVI_1000,NDVI_2000,DIST_RIO,DIST_ARROZ,DIST_urban,Norte,Oeste,LST_1
"1","1",A1,"1",Arrozal,Ricefields,"1",0,19,674.29,0,18.29,0.29,2,0.576514548,"5052",2.86,124.62,135.57,144.04,142.69,Arrozales,Arrozales,Arrozales,Arrozales,Cultives,0.243557962,0.24902398,0.261993985,0.28942045,0.305238758,"4352","10","4437",37.08508,-6.13773,16.4659843444824
"2","2",A2,"2",Arrozal,Ricefields,"1",0.5,3,216,1,10.75,2,0,0.360835804,"934",2.5,59.62,58.31,46,51.53,Cultivos,Cultivos,Cultivos,Cultivos,Cultives,0.126282019,0.110656023,0.116812983,0.168950688,0.16325342,"2684","1311","10817",37.02583,-6.19075,25.1890258789063
"3","3",A3,"3",Arrozal,Ricefields,"1",0.14,3,87.86,2.14,32.57,112.43,16.86,0.817718608,"1792",4,54.47,69.54,55.49,35.1,Zonas sin vegetaci?,Cultivos,Cultivos,Pastizal,Cultives,0.189173192,0.303356074,0.275632778,0.367416474,0.316263641,"16389","61","5394",37.23843889,-6.130247222,21.2452831268311
"4","11",HT1,"11",Huerta Tejada,Crops,"2",0,14.75,33.25,0,0,0.25,15.75,0.431524465,"256",1.25,47.61,66.26,71.33,84.83,Cultivos,Cultivos,Pastizal,Pastizal,Cultives,0.234632236,0.254066629,0.233927546,0.242276375,0.327698762,"12262","1023","3747",37.15325,-6.20567,24.6845417022705
"5","12",HT2,"12",Huerta Tejada,Crops,"2",4.25,50.75,476.75,2,0,0.5,2,0.347256651,"2150",3,44.62,49,40.99,42.32,Pastizal,Pastizal,Pastizal,Cultivos,Cultives,0.210552732,0.227280924,0.24568011,0.214651579,0.210851796,"7781","1415","8213",37.10392,-6.25878,25.6796398162842
"6","13",HT3,"13",Huerta Tejada,Crops,"2",11.5,2.5,9,0,0,4,0,0.851609643,"54",2.5,28.05,33.14,34.58,39.3,Cultivos,Cultivos,Cultivos,Cultivos,Cultives,0.165088068,0.174512234,0.172568747,0.181287666,0.189923374,"6105","1732","9280",37.08937,-6.26399,26.0071907043457
"7","14",HT5,"14",Huerta Tejada,Crops,"2",0.2,587.6,298.6,0.6,1.8,0.4,0,0.227280082,"4446",2.2,19.38,31.7,45.24,47.54,Pastizal,Cultivos,Cultivos,Cultivos,Cultives,0.211486558,0.192320827,0.190990762,0.173081981,0.171940187,"4478","3486","13059",37.07127,-6.30006,27.1133251190186
"8","15",HT6,"15",Huerta Tejada,Crops,"2",1.88,262.63,249.38,0.75,5.75,23.38,8.75,0.460969383,"6031",2.88,14.63,56.12,58.7,51.1,Zonas sin vegetaci?,Cultivos,Cultivos,Cultivos,Cultives,0.181433667,0.208360815,0.151054537,0.164338366,0.159898469,"4072","1973","11673",37.07181944,-6.282438889,26.1585960388184
"9","16",HT8,"16",Huerta Tejada,Crops,"2",0.83,86.33,76.17,0,0.17,0.17,0.17,0.29094973,"984",2.5,28.26,44.34,51.4,51.61,Cultivos,Cultivos,Cultivos,Cultivos,Cultives,0.20004463,0.211981508,0.215274223,0.181342359,0.197540172,"5663","5305","14648",37.072434,-6.320817,28.3024234771729
"10","4",FAO1,"4",Marisma,Marshlands,"3",0,0,5277,0,551,0,0,0.451456566,"5828",2,196,192.96,180.86,146.92,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.178350768,0.169870233,0.170370564,0.151721095,-0.021611502,"9535","8512","11201",37.059935,-6.382716667,22.9410057067871
"11","5",FAO2,"5",Marisma,Marshlands,"3",0,0,3315,0,308,0,0,0.419599076,"3623",2,198.49,187.96,179.12,160.24,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.121265136,0.1213168,0.142089908,0.147232683,-0.024173952,"8965","9356","12055",37.05106833,-6.37995,22.8036308288574
"12","6",FAO3,"6",Marisma,Marshlands,"3",0,337,1481.67,0,287.67,0,0,0.230753015,"6319",1.67,201.86,183.73,176.41,160.04,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.086702359,0.117808017,0.135102006,0.117235789,-0.027111162,"8429","9439","12933",37.04186667,-6.377616667,23.1630916595459
"13","7",FAO4,"7",Marisma,Marshlands,"3",0,0,3931,10,983,0,0,0.741633587,"4924",3,209.09,192.95,180.01,159.12,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.031101409,0.017175367,0.075292606,0.105623202,-0.025130872,"7895","8907","13844",37.03336667,-6.3741,22.9960632324219
"14","8",FAO5,"8",Marisma,Marshlands,"3",0,0,7410,0,310,0,0,0.243004424,"7720",2,203.58,190.08,180.53,163.3,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.03236159,0.058524062,0.086138666,0.105585566,-0.020581898,"7241","8273","14537",37.02526667,-6.368933333,22.8101634979248
"15","9",FAO6,"9",Marisma,Marshlands,"3",0,0,1771,0,19,0,0,0.084840067,"1790",2,196.7,175.93,173.47,167.48,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.164798764,0.13580427,0.11752757,0.10218639,-0.027141538,"6561","7691","14821",37.01726667,-6.36345,22.438570022583
"16","10",FAO7,"10",Marisma,Marshlands,"3",0,44,8851,0,1380,0,0,0.608093581,"10275",3,201.39,173.7,165.72,170.88,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Halophytic vegetation,0.129438605,0.121876368,0.11222615,0.108687031,-0.027214525,"6007","7359","15011",37.00853333,-6.359633333,22.675838470459
"17","43",MA01,"43",Marisma,Marshlands,"3",0.83,1384,450.83,0.5,2,0.67,4.83,0.566470828,"11062",3.5,98.22,102.92,113.68,115.05,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.069413327,0.051791874,0.011954727,-0.022314257,-0.040474257,"184","14537","11062",36.89532833,-6.3478525,22.9069480895996
"18","44",MA02,"44",Marisma,Marshlands,"3",0,75.63,77.25,0.38,0,4,57.88,0.285291881,"1723",2,16.62,16.49,21.16,41.86,Matorral,Matorral,Pastizal,Pastizal,Pastizal,0.429081557,0.417711596,0.258542957,0.278264907,0.214928891,"15921","5089","5084",37.12687806,-6.414836111,25.1455631256104
"19","45",MA04,"45",Marisma,Marshlands,"3",0.17,27.17,70.5,0.17,6,0.83,13.33,0.4530073,"721",2.5,26.3,44.03,49.19,59.48,Pastizal,Pastizal,Pastizal,Pastizal,Pastizal,0.163207758,0.175696494,0.16023878,0.180905623,0.212046057,"15312","5447","5277",37.11793639,-6.415097778,27.1685314178467
"20","46",MA08,"46",Marisma,Marshlands,"3",0,29.4,151.8,0.2,2.8,0.2,35.6,0.660136912,"1283",3,16.11,18.48,69.79,98.69,Cultivos,Cultivos,Cultivos,Cultivos,Cultives,0.152135265,0.14954127,0.163865123,0.157850785,0.156731224,"9769","6796","10565",37.07472833,-6.376944167,27.9306030273438
"21","47",MA09,"47",Marisma,Marshlands,"3",0.5,14.83,1728.83,0,1.5,4.5,18.17,0.428994152,"10613",2.5,99.16,92.36,124.92,126.54,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.046785238,0.025889373,0.025226117,-0.00257861,0.016180024,"11730","7095","8671",37.08083167,-6.397940556,26.100643157959
"22","48",MA19,"48",Marisma,Marshlands,"3",0,395.71,2586.29,18,18.14,0,14.86,0.381787541,"21231",2.29,128.22,129.71,114.98,100.86,Vegetaci? hal?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.240360944,0.205077513,0.208867827,0.142009931,0.128591252,"14022","11008","8281",37.0599075,-6.436395278,24.850830078125
"23","49",MA21,"49",Marisma,Marshlands,"3",0,273.29,4021.43,0.86,6.86,12.71,8.86,0.522849138,"30268",3,102.97,101.88,93.41,92.69,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.347205038,0.25770587,0.192855563,0.145640565,0.097578247,"13501","12136","9729",37.0461425,-6.435032222,26.6756286621094
"24","50",MA23,"50",Marisma,Marshlands,"3",0,360.57,3607.86,3.71,8.14,0,58.43,0.573455907,"28272",2.29,122.01,107.26,97.77,100.09,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.197949163,0.1987474,0.193516008,0.155636039,0.131957327,"13232","12598","9861",37.04032917,-6.433645556,25.2474880218506
"25","51",MA24,"51",Marisma,Marshlands,"3",0,236.75,46.5,0,2.25,0.75,0,0.130441832,"1145",2,80.21,98.53,126.6,124.84,Cultivos,Cultivos,Cultivos,Cultivos,Cultives,0.106863432,0.106187355,0.089975301,0.07515801,0.09678078,"4037","5050","16845",37.03098,-6.330181,27.7876720428467
"26","52",MA25,"52",Marisma,Marshlands,"3",0,584.29,1341.14,2.14,8.86,0,11.43,0.574036634,"13641",2.71,129.97,97.74,95.17,97.45,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Vegetaci? hidr?ila,Hidrophilic vegetation,0.319859651,0.276481152,0.205358596,0.178105693,0.190979113,"13142","13232","9435",37.03396778,-6.434474167,24.7422027587891
"27","53",MA26,"53",Marisma,Marshlands,"3",0,129.6,162.6,0,0,0.4,0.2,0.163981789,"1465",2.4,167.93,172.39,174.53,173.58,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,-0.084573871,-0.064357247,-0.059260899,-0.062610141,-0.043480638,"3126","5646","17404",36.987408,-6.331717,23.5445747375488
"28","54",MA28,"54",Marisma,Marshlands,"3",9.17,1351.33,404.67,0.17,1,1.83,0,0.811843291,"10609",3,110.44,126.23,126.24,127.77,Zonas sin vegetaci?,Zonas sin vegetaci?,Zonas sin vegetaci?,Vegetaci? hal?ila,Halophytic vegetation,0.208892207,0.127735181,0.005257265,0.017979892,0.02984851,"237","983","15347",37.022355,-6.285794,23.8032360076904
"29","55",MA31,"55",Marisma,Marshlands,"3",0,476.6,161.6,0.8,2.2,1,0,0.620744606,"10",1,114.64,132.87,121.8,111.6,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.007589801,-0.007096661,-0.033672089,-0.032610351,0.022645405,"18","2042","17144",36.99941833,-6.292186667,24.569356918335
"30","56",MA33,"56",Marisma,Marshlands,"3",0,3001.2,3594.2,0,76.4,16.6,0,0.65513288,"3211",3,73.03,92.99,97.21,111.2,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.030573416,0.017710156,-0.005040873,-0.004651378,0.022135223,"39","2882","16572",36.99143833,-6.294588333,24.8093280792236
"31","57",MA35,"57",Marisma,Marshlands,"3",0,1145.4,1246.6,0,58.6,2,0,0.772971688,"33442",3.4,73.88,86.14,98.68,109.17,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Vegetaci? hal?ila,Halophytic vegetation,0.045832953,0.038178601,0.012782911,-0.004540643,0.022713172,"498","3808","15941",36.98271528,-6.296490278,26.5587902069092
